commodity,scenario,severity,horizon_months,threshold,prob_exceed
cotton,drought,0.5,3,0.15,0.0229
cotton,drought,0.5,3,0.2,0.007
cotton,drought,0.5,6,0.05,0.1795
cotton,drought,0.5,6,0.1,0.0976
cotton,drought,0.5,6,0.15,0.0468
cotton,drought,0.5,6,0.2,0.0201
cotton,drought,0.5,12,0.05,0.1711
cotton,drought,0.5,12,0.1,0.1073
cotton,drought,0.5,12,0.15,0.0653
cotton,drought,0.5,12,0.2,0.0389
cotton,drought,0.75,3,0.05,0.1243
cotton,drought,0.75,3,0.1,0.0438
cotton,drought,0.75,3,0.15,0.0154
cotton,drought,0.75,3,0.2,0.0043
cotton,drought,0.75,6,0.05,0.1179
cotton,drought,0.75,6,0.1,0.0568
cotton,drought,0.75,6,0.15,0.0248
cotton,drought,0.75,6,0.2,0.0102
cotton,drought,0.75,12,0.05,0.0878
cotton,drought,0.75,12,0.1,0.0513
cotton,drought,0.75,12,0.15,0.0281
cotton,drought,0.75,12,0.2,0.0153
cotton,drought,1.0,3,0.05,0.0885
cotton,drought,1.0,3,0.1,0.0307
cotton,drought,1.0,3,0.15,0.0089
cotton,drought,1.0,3,0.2,0.0026
cotton,drought,1.0,6,0.05,0.0722
cotton,drought,1.0,6,0.1,0.0313
cotton,drought,1.0,6,0.15,0.0125
cotton,drought,1.0,6,0.2,0.005
cotton,drought,1.0,12,0.05,0.0402
cotton,drought,1.0,12,0.1,0.021
cotton,drought,1.0,12,0.15,0.0113
cotton,drought,1.0,12,0.2,0.0057
cotton,drought,1.25,3,0.05,0.0621
cotton,drought,1.25,3,0.1,0.0205
cotton,drought,1.25,3,0.15,0.006
cotton,drought,1.25,3,0.2,0.0017
cotton,drought,1.25,6,0.05,0.0413
cotton,drought,1.25,6,0.1,0.0159
cotton,drought,1.25,6,0.15,0.0065
cotton,drought,1.25,6,0.2,0.0024
cotton,drought,1.25,12,0.05,0.0158
cotton,drought,1.25,12,0.1,0.0087
cotton,drought,1.25,12,0.15,0.0038
cotton,drought,1.25,12,0.2,0.0023
cotton,drought,1.5,3,0.05,0.0413
cotton,drought,1.5,3,0.1,0.0136
cotton,drought,1.5,3,0.15,0.0036
cotton,drought,1.5,3,0.2,0.001
cotton,drought,1.5,6,0.05,0.0216
cotton,drought,1.5,6,0.1,0.008
cotton,drought,1.5,6,0.15,0.003
cotton,drought,1.5,6,0.2,0.0013
cotton,drought,1.5,12,0.05,0.006
cotton,drought,1.5,12,0.1,0.0029
cotton,drought,1.5,12,0.15,0.0014
cotton,drought,1.5,12,0.2,0.0006
cotton,drought,1.75,3,0.05,0.0289
cotton,drought,1.75,3,0.1,0.0082
cotton,drought,1.75,3,0.15,0.0022
cotton,drought,1.75,3,0.2,0.0007
cotton,drought,1.75,6,0.05,0.0107
cotton,drought,1.75,6,0.1,0.0041
cotton,drought,1.75,6,0.15,0.0015
cotton,drought,1.75,6,0.2,0.0005
cotton,drought,1.75,12,0.05,0.0024
cotton,drought,1.75,12,0.1,0.001
cotton,drought,1.75,12,0.15,0.0004
cotton,drought,1.75,12,0.2,0.0001
cotton,drought,2.0,3,0.05,0.0197
cotton,drought,2.0,3,0.1,0.0054
cotton,drought,2.0,3,0.15,0.0013
cotton,drought,2.0,3,0.2,0.0002
cotton,drought,2.0,6,0.05,0.0058
cotton,drought,2.0,6,0.1,0.0019
cotton,drought,2.0,6,0.15,0.0006
cotton,drought,2.0,6,0.2,0.0002
cotton,drought,2.0,12,0.05,0.0006
cotton,drought,2.0,12,0.1,0.0001
cotton,drought,2.0,12,0.15,0.0001
cotton,drought,2.0,12,0.2,0.0
cotton,flood,0.0,3,0.05,0.296
cotton,flood,0.0,3,0.1,0.13
cotton,flood,0.0,3,0.15,0.0481
cotton,flood,0.0,3,0.2,0.0179
cotton,flood,0.0,6,0.05,0.3748
cotton,flood,0.0,6,0.1,0.2271
