month,prob,commodity,model,horizon,label
2019-03,0.5636810544697788,cotton,clf_logit,9,0
2019-04,0.632143731382532,cotton,clf_logit,9,0
2019-05,0.5571032575873132,cotton,clf_logit,9,0
2019-06,0.5098873324179141,cotton,clf_logit,9,0
2019-07,0.5067164947448886,cotton,clf_logit,9,0
2019-08,0.5159522642444564,cotton,clf_logit,9,1
2019-09,0.6127761541638439,cotton,clf_logit,9,1
2019-10,0.5328161093653474,cotton,clf_logit,9,0
2019-11,0.5887098155686067,cotton,clf_logit,9,0
2019-12,0.5943955066220508,cotton,clf_logit,9,0
2020-01,0.6156284418156677,cotton,clf_logit,9,0
2020-02,0.6352785432751298,cotton,clf_logit,9,0
2020-03,0.541225970671563,cotton,clf_logit,9,1
2020-04,0.48821380257193986,cotton,clf_logit,9,1
2020-05,0.45856733768705954,cotton,clf_logit,9,1
2020-06,0.5243301752928504,cotton,clf_logit,9,1
2020-07,0.518055394970994,cotton,clf_logit,9,1
2020-08,0.5159229628444706,cotton,clf_logit,9,1
2020-09,0.4492696907954067,cotton,clf_logit,9,1
2020-10,0.45098479610926384,cotton,clf_logit,9,1
2020-11,0.4122239577598736,cotton,clf_logit,9,1
2020-12,0.4052237300948996,cotton,clf_logit,9,1
2021-01,0.36600873648113974,cotton,clf_logit,9,1
2021-02,0.34508908405421934,cotton,clf_logit,9,1
2021-03,0.27062530178779215,cotton,clf_logit,9,1
2021-04,0.24970857700129248,cotton,clf_logit,9,1
2021-05,0.3529118309584921,cotton,clf_logit,9,1
2021-06,0.47799938533094,cotton,clf_logit,9,1
2021-07,0.531837968390972,cotton,clf_logit,9,1
2021-08,0.5074924107519648,cotton,clf_logit,9,1
2021-09,0.43866708415445876,cotton,clf_logit,9,1
2021-10,0.46747260405870855,cotton,clf_logit,9,1
2021-11,0.5154303064304546,cotton,clf_logit,9,1
2021-12,0.4369731481949943,cotton,clf_logit,9,1
2022-01,0.5712068132146116,cotton,clf_logit,9,1
2022-02,0.502930320299049,cotton,clf_logit,9,1
2022-03,0.5862022573364304,cotton,clf_logit,9,1
2022-04,0.5526129209619136,cotton,clf_logit,9,0
2022-05,0.6107850444125162,cotton,clf_logit,9,0
2022-06,0.6604718264714059,cotton,clf_logit,9,0
2022-07,0.5457342291208673,cotton,clf_logit,9,0
2022-08,0.5094637433924105,cotton,clf_logit,9,0
2022-09,0.42705583275570075,cotton,clf_logit,9,0
2022-10,0.3804258363746881,cotton,clf_logit,9,0
