commodity,scenario,severity,month_offset,month,p2.5,p10,p25,p50,p75,p90,p95,p97.5
cotton,el_nino,0.5,3,2026-03,1.3456381795093189,1.4512644172546003,1.5351342543718183,1.6176250852162726,1.7043968069470563,1.78888459533475,1.8436212482555725,1.8997397952250947
cotton,el_nino,0.5,4,2026-04,1.3023827413891058,1.4221496698056895,1.5156727555781397,1.6118014167912285,1.7133397487461939,1.8129746263372106,1.8781749027996977,1.9369899382524332
cotton,el_nino,0.5,5,2026-05,1.2722312413784582,1.3945086796894222,1.498003531380145,1.6079742223597622,1.717676805736795,1.831609190763787,1.9078054722765978,1.9761597608300003
cotton,el_nino,0.5,6,2026-06,1.246651762482291,1.3727476954562354,1.4812951906338991,1.6040798610497107,1.726398654146094,1.8525963145872677,1.9328018272659742,2.003169634424212
cotton,el_nino,0.5,7,2026-07,1.2151590306255802,1.3490356170705085,1.4659588004246653,1.5956290701654448,1.733128127229858,1.867181951837999,1.9552469604699407,2.024761665710525
cotton,el_nino,0.5,8,2026-08,1.1912390923313585,1.3252434711189207,1.4520033995713832,1.5915820903168143,1.7369721822984854,1.8812202690098265,1.975653772504031,2.0598427289635985
cotton,el_nino,0.5,9,2026-09,1.1676798278942344,1.3072557038573664,1.4394056963100863,1.5892534334810882,1.743405931601448,1.8958041731464683,1.9952460691580574,2.0909896758824456
cotton,el_nino,0.5,10,2026-10,1.1541395194828805,1.2956114366509812,1.426760241219514,1.5811199110876022,1.7444324874303274,1.9106704706206246,2.0154339371541066,2.1119725133728395
cotton,el_nino,0.5,11,2026-11,1.1295386147950195,1.274514159722817,1.416243529791355,1.574748216123139,1.7473677550822193,1.9191259110860241,2.0249463530767877,2.1372195404249754
cotton,el_nino,0.5,12,2026-12,1.10624529868167,1.2541298873366826,1.4006816122404406,1.5701128661159416,1.750205753912597,1.935712327726192,2.05620496033437,2.1617849941397536
cotton,el_nino,0.75,1,2026-01,1.4419400484272884,1.5306809236849928,1.5791491406840652,1.62256093001892,1.6702340764717885,1.709765399545335,1.7478661785928216,1.7892181931823956
